884	774	363	223	457	928	774	313	945	829	479	501	731	91	296	782	881	89	456	212
184	950	913	605	174	674	19	614	532	607	830	963	607	493	171	755	929	817	630	965
562	8	107	199	660	660	280	982	350	823	812	425	328	806	547	943	788	794	684	940
488	317	335	635	541	502	741	428	878	726	411	955	277	614	579	141	418	699	189	255
638	713	73	670	168	588	649	511	119	580	48	760	58	741	203	750	751	470	454	713
60	332	326	56	141	826	267	476	184	779	48	741	115	275	287	529	736	1000	66	157
297	260	567	578	228	835	32	929	284	443	499	641	711	16	192	774	118	288	463	305
861	894	603	390	282	289	906	400	865	190	277	989	619	833	875	501	736	271	460	759
688	509	560	737	731	370	486	828	856	754	32	241	416	302	730	665	178	285	351	531
945	375	403	853	824	409	819	496	178	54	605	196	43	274	224	508	588	449	962	557
18	633	290	392	92	863	744	797	610	28	339	154	718	974	571	262	346	585	491	70
889	120	327	748	950	321	291	79	13	907	119	187	488	52	286	480	604	355	742	642
698	902	789	153	150	363	249	562	661	56	383	941	364	236	269	26	472	73	773	31
866	20	589	15	35	593	486	949	798	211	975	1000	121	480	839	97	910	406	452	416
465	118	843	661	787	679	390	113	170	609	776	92	442	978	185	963	475	293	191	709
150	179	527	405	4	315	26	405	318	140	732	311	566	3	229	873	702	662	313	430
174	608	95	438	761	938	868	110	964	624	852	685	329	193	656	873	336	322	261	545
388	338	218	308	73	599	403	644	267	364	579	651	509	77	897	389	283	182	538	760
708	310	431	239	771	679	910	133	720	576	986	226	592	97	133	993	798	193	925	577
716	876	273	872	933	472	478	819	147	384	16	579	263	293	133	608	364	991	927	930
847	807	472	254	517	775	730	246	326	688	637	996	42	478	327	218	410	291	881	89
226	628	221	358	651	101	722	598	143	132	565	464	673	490	867	298	880	98	204	785
650	910	298	187	901	375	473	836	918	319	734	965	43	982	197	333	21	883	747	971
124	200	363	868	821	144	745	897	488	312	837	894	993	205	136	402	935	200	304	852
759	818	930	517	206	15	842	246	358	7	751	734	169	34	244	379	377	639	678	736
401	305	135	116	429	177	765	834	631	181	869	827	589	566	58	441	566	2	210	582
624	898	486	55	213	249	774	87	950	631	286	726	373	471	360	636	385	724	918	374
153	730	622	885	376	469	784	160	253	373	949	352	363	91	233	533	383	773	185	452
210	457	636	649	278	915	241	515	718	162	19	519	346	68	916	672	123	626	865	943
